"id","lotto_number","lotto_round","lotto_set","lotto_year","lotto_item","lotto_price_due","lotto_price","scanner_uuid","buyer_uuid","lotto_url","lotto_bc_ref","lotto_bc_hash","lotto_type","lotto_status","create_at","create_by","update_at","update_by","payment_id","lotto_uuid"
90124718426,"379000","68","00","54","3790","3011-10-16 00:00:00",80,"97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","3011-10-16-01.jpg","1806309",MEUCIQDVSCYRyMNFVB+S2/U6EZ3+eJ1+4Aa9uAWglZJ2WGtg4gIgPTFiluepcQ9S/BOn8ky0MHxWG4RXVT/91n960IDbIEo=,"01",transfered,"2024-03-26 15:15:52","","2024-03-27 16:44:03",,,"546800379000"
90124718427,"379001","68","00","54","3790","3011-10-16 00:00:00",80,"97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","3011-10-16-01.jpg","1806309",MEYCIQDH7v8CLvBxNjaaNlzxH+IR/ADjvxqAp8LD7/4PknhwjwIhAOYO5+XaxNJXYSeuJixFhubPEJlMBBcPrDoNrFJp23rR,"01",transfered,"2024-03-26 15:15:52","","2024-03-27 16:44:03",,,"546800379001"
90124718428,"379002","68","00","54","3790","3011-10-16 00:00:00",80,"97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","3011-10-16-01.jpg","1806309",MEQCIF1BQyrCW+HoWx+RnOe7hU5lMB9BkHCmfzKFzgi542v9AiBgj3BcsGL0S7Kk2rqahQ26hthEYLyGSiwa8rs0hiqPDg==,"01",transfered,"2024-03-26 15:15:52","","2024-03-27 16:44:03",,,"546800379002"
90124718429,"379003","68","00","54","3790","3011-10-16 00:00:00",80,"97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","3011-10-16-01.jpg","1806309",MEUCIE/UjsHqpTjv1UTtPjjd+hUvfOpq4CWuqfhJzGBgt9MGAiEAgWJDhPeLQ+2oh+ebpTMnWODR6H/pt8QBenLfaP4ftaI=,"01",transfered,"2024-03-26 15:15:52","","2024-03-27 16:44:03",,,"546800379003"
90124718430,"379004","68","00","54","3790","3011-10-16 00:00:00",80,"97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","3011-10-16-01.jpg","1806309",MEQCIGt7scV949raGoD0Gy8dpTqVQcaHw+ewhFLAzEbHJYgdAiBY2garto/RcOXqFSib3TvuWlIAWV7GcTbfbJI8Evl8Bw==,"01",transfered,"2024-03-26 15:15:52","","2024-03-27 16:44:03",,,"546800379004"
90124718431,"379005","68","00","54","3790","3011-10-16 00:00:00",80,"97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","3011-10-16-01.jpg","1806309",MEQCIGSV4T1/RQKSmrGbvqF7DPKKxgACILN9XowjfRsnUTmuAiA66aYcKT2dFe+aWB1CZ2wv9EBoo+Q7Gs5kncJyM1O8QA==,"01",transfered,"2024-03-26 15:15:52","","2024-03-27 16:44:03",,,"546800379005"
90124718432,"379006","68","00","54","3790","3011-10-16 00:00:00",80,"97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","3011-10-16-01.jpg","1806309",MEYCIQCHl3LI7GymikRGmMc5I6oQGZ0q17P1CDjTbjkOhptAOAIhAKYMNgYrOM5+JtmG5ewDHDfWnsqumXC5udhlitk/oVNT,"01",transfered,"2024-03-26 15:15:52","","2024-03-27 16:44:03",,,"546800379006"
90124718433,"379007","68","00","54","3790","3011-10-16 00:00:00",80,"97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","3011-10-16-01.jpg","1806309",MEYCIQDZa0uiZX62xHiyY1D3ekhhZSSUuPVW9W721bjOnAfNXAIhAJxfqreA6fhlf2wGsotpHDX5w9zikzyDz06odWVqI5ij,"01",transfered,"2024-03-26 15:15:52","","2024-03-27 16:44:03",,,"546800379007"
90124718434,"379008","68","00","54","3790","3011-10-16 00:00:00",80,"97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","3011-10-16-01.jpg","1806309",MEQCICobhegTaIHEvO6s9sAoOdOxETU2QDdJjlouIBFFQ/sbAiAZjJRDQwc3H23s1UbKG1vAL2oqg2E7FQz1L4HaqQbAfQ==,"01",transfered,"2024-03-26 15:15:52","","2024-03-27 16:44:03",,,"546800379008"
90124718435,"379009","68","00","54","3790","3011-10-16 00:00:00",80,"97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","97a136db1d2bf20a6588fbf5702e48c292c5bd517e1b7da840d9c76915fd39f1","3011-10-16-01.jpg","1806309",MEYCIQCCXhuGahGWmPsCrpjHx+DdNfeHjIU8TU0YUd3V5oPEsQIhANQRJXVWgo2jMn9Qgk7TwZxuzEmybjJkE0KWUL2P7z05,"01",transfered,"2024-03-26 15:15:52","","2024-03-27 16:44:03",,,"546800379009"
