"id","lotto_number","lotto_round","lotto_set","lotto_year","lotto_item","lotto_price_due","lotto_price","scanner_uuid","buyer_uuid","lotto_url","lotto_bc_ref","lotto_bc_hash","lotto_type","lotto_status","create_at","create_by","update_at","update_by","payment_id","lotto_uuid"
90124568053,"004604","51","10","54","8861","3011-02-01 00:00:00",80,"47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","3011-02-01-01.jpg","1805767",MEYCIQDHFDklhuIy9Hq1XL/aGp5qh8rns6U2XkP06OxQe0lyZgIhAKXi3b963rZjmdW/lPGr/N0m7jKdQx8XAe5ZEagUJzIM,"01",transfered,"2024-02-07 10:15:18","","2024-02-07 13:39:32",,,"545110004604"
90124568054,"005987","51","10","54","8861","3011-02-01 00:00:00",80,"47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","3011-02-01-01.jpg","1805767",MEYCIQCvpf1bqJZtjFSnYrvjgqs0f3u10FxJArT/KBs2UbsJaQIhAKwBgeKGW33EU9TmgTUC5L8pmTPQK8P2QChaxAGQ2Y0R,"01",transfered,"2024-02-07 10:15:18","","2024-02-07 13:39:32",,,"545110005987"
90124568055,"011731","51","10","54","8861","3011-02-01 00:00:00",80,"47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","3011-02-01-01.jpg","1805767",MEQCIH1Go8fVOdA6t72kCcVu0CBIpdsonEV55ChS+XZxMviEAiAthAFC0da9ygA22vZPaVUNfT93ztbAd4BTL6q4mnoLhw==,"01",transfered,"2024-02-07 10:15:18","","2024-02-07 13:39:32",,,"545110011731"
90124568056,"037224","51","10","54","8861","3011-02-01 00:00:00",80,"47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","3011-02-01-01.jpg","1805767",MEUCIQDIZUmYQJiTI8+Jvdns2rlakZeYKZLbzZRkrHSpuEFklQIgA03lgTpCap2VkpQ6/4ZroVbFZXAbvOo9KvskHfdnDWo=,"01",transfered,"2024-02-07 10:15:18","","2024-02-07 13:39:32",,,"545110037224"
90124568057,"040248","51","10","54","8861","3011-02-01 00:00:00",80,"47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","3011-02-01-01.jpg","1805767",MEYCIQCtZ0FvJJT3djG+Wft81Zi+UIqTmIz3NzzibD0hAgOBPAIhAJ+ZERg8C5jlF5j4Nc5xqJMnTcBySApvSxopBOLGF5VE,"01",transfered,"2024-02-07 10:15:18","","2024-02-07 13:39:32",,,"545110040248"
90124568058,"042390","51","10","54","8861","3011-02-01 00:00:00",80,"47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","3011-02-01-01.jpg","1805767",MEQCICW9bmTz8wED8mOdWJPhjKSas9DFyzTzGPNHi0ABMOJ6AiB5HycWc6628cfEzV4EDsBALc9BLPcnv7rhPzeWx9IGIQ==,"01",transfered,"2024-02-07 10:15:18","","2024-02-07 13:39:32",,,"545110042390"
90124568059,"060421","51","10","54","8861","3011-02-01 00:00:00",80,"47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","3011-02-01-01.jpg","1805767",MEYCIQCdrqLkQ0URUuFlpIQQgwFxbytkBBbDzJRI8d0lim3TkwIhAL3o0uE/kNHEbE8OLRSdzeV3+Fd00ZTqU5UGrwav19Pa,"01",transfered,"2024-02-07 10:15:18","","2024-02-07 13:39:32",,,"545110060421"
90124568060,"067254","51","10","54","8861","3011-02-01 00:00:00",80,"47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","3011-02-01-01.jpg","1805767",MEQCIAq8h+JwrwekJyGEjjuoZEJUM8MmhxoIS2pWfeRwqlTOAiBTZRUpcUoFAsds1lPDVhm8KYJSTZHJXW+isIl1ODk6fA==,"01",transfered,"2024-02-07 10:15:18","","2024-02-07 13:39:32",,,"545110067254"
90124568061,"076939","51","10","54","8861","3011-02-01 00:00:00",80,"47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","3011-02-01-01.jpg","1805767",MEUCIQDFU0oZ68CmGj/mnO80oaR9hEKoKm2S8lP77EZL3+jrOAIgUbIF2BBA2Na9ylB04AaC4Fie9exuTqsTh9YMQ6vcJI0=,"01",transfered,"2024-02-07 10:15:18","","2024-02-07 13:39:32",,,"545110076939"
90124568062,"080749","51","10","54","8861","3011-02-01 00:00:00",80,"47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","47c1aa41ba668877468339cba9a508bb091d7f07bda550617bbe9a5262bc95f6","3011-02-01-01.jpg","1805767",MEUCIQCv12GYTVfqInx9Sb+Lew0qk+mguew4DudQgb557j3WHAIgRj3sQwNX1fjZKk3G+Xr8x1ghuH/uBF1/EJIgNnyZbaw=,"01",transfered,"2024-02-07 10:15:18","","2024-02-07 13:39:32",,,"545110080749"
